Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
28.Aug 2018|16.151|13.150|5.362|16.999|22.509|3.230|3.449|25.720|28.365|2.798|3.460|7.943|1.502|6.063|31.329|20.626|19.781|1.986|1.172|5.361|2.645|14.743|41.225|6.020|5.537|32.529|2.412|16.130|67.499|3.513|21.963|30.713|1.550
29.Aug 2018|16.102|13.163|5.317|17.058|22.615|3.234|3.452|25.745|28.449|2.813|3.462|7.931|1.507|6.065|31.268|20.612|19.847|1.982|1.153|5.377|2.642|14.785|41.277|6.010|5.545|32.423|2.408|16.150|67.479|3.423|22.080|30.968|1.531
30.Aug 2018|16.080|13.167|5.341|17.035|22.710|3.224|3.453|25.750|28.689|2.806|3.461|7.891|1.499|6.098|31.132|20.584|19.763|1.985|1.158|5.359|2.649|14.686|41.184|6.006|5.545|32.483|2.419|16.127|67.353|3.278|22.025|30.838|1.514
31.Aug 2018|15.958|13.158|5.300|16.945|22.814|3.231|3.452|25.735|28.681|2.814|3.460|7.888|1.500|6.129|31.109|20.638|19.942|1.977|1.151|5.375|2.649|14.656|41.298|5.997|5.543|32.537|2.423|16.121|67.427|3.369|22.089|30.975|1.499
03.Sep 2018|15.984|13.167|5.381|16.968|22.853|3.251|3.455|25.750|28.551|2.826|3.465|7.885|1.497|6.133|31.149|20.584|19.959|1.995|1.155|5.372|2.654|14.659|41.441|5.996|5.557|32.560|2.434|16.170|67.734|3.347|22.183|31.087|1.490
04.Sep 2018|15.991|13.155|5.321|16.890|22.851|3.255|3.452|25.730|28.568|2.835|3.463|7.856|1.490|6.142|31.090|20.404|20.009|1.991|1.146|5.376|2.648|14.582|41.539|5.976|5.554|32.565|2.435|16.171|67.821|3.333|22.256|31.189|1.460
05.Sep 2018|15.950|13.162|5.320|16.874|22.812|3.256|3.453|25.745|28.499|2.833|3.464|7.855|1.489|6.148|30.992|20.272|19.936|1.981|1.136|5.361|2.641|14.600|41.360|5.955|5.551|32.503|2.443|16.133|67.714|3.334|22.238|31.022|1.431
06.Sep 2018|15.906|13.147|5.365|16.759|22.797|3.235|3.449|25.715|28.618|2.814|3.458|7.876|1.484|6.162|30.702|20.121|19.849|1.970|1.150|5.330|2.630|14.576|41.059|5.955|5.544|32.306|2.428|16.064|67.389|3.368|22.090|30.845|1.443
07.Sep 2018|15.842|13.139|5.450|16.864|22.908|3.234|3.445|25.695|28.787|2.818|3.459|7.915|1.493|6.173|30.842|19.842|19.918|1.971|1.156|5.338|2.630|14.562|41.138|5.964|5.536|31.850|2.445|16.086|67.478|3.439|22.124|30.952|1.464
10.Sep 2018|15.777|13.111|5.444|16.802|22.764|3.230|3.439|25.650|28.699|2.824|3.456|7.890|1.492|6.181|30.592|19.807|19.952|1.963|1.149|5.348|2.644|14.487|41.104|5.942|5.540|31.561|2.450|16.064|67.455|3.430|22.166|31.031|1.461
11.Sep 2018|15.724|13.113|5.344|16.837|22.750|3.227|3.438|25.650|28.892|2.823|3.457|7.898|1.491|6.184|30.494|19.506|19.907|1.964|1.148|5.345|2.650|14.431|41.034|5.952|5.537|31.571|2.446|16.084|67.478|3.421|22.157|30.943|1.468
12.Sep 2018|15.733|13.087|5.344|16.908|22.695|3.217|3.431|25.590|28.736|2.815|3.442|7.855|1.490|6.163|30.595|19.372|19.822|1.958|1.154|5.331|2.657|14.402|40.865|5.936|5.517|31.935|2.443|16.053|67.365|3.469|22.096|30.868|1.467
13.Sep 2018|15.786|13.048|5.295|16.889|22.652|3.210|3.421|25.520|28.670|2.798|3.431|7.850|1.480|6.142|30.491|19.436|19.683|1.959|1.158|5.300|2.666|14.386|40.634|5.922|5.502|32.129|2.443|16.014|67.338|3.542|21.965|30.677|1.488
14.Sep 2018|15.665|13.025|5.207|16.752|22.595|3.180|3.415|25.475|28.544|2.777|3.428|7.872|1.472|6.110|30.344|19.809|19.483|1.947|1.159|5.265|2.647|14.329|40.314|5.917|5.484|32.155|2.415|15.907|66.924|3.564|21.790|30.502|1.469
